,StartLocation,EndLocation,Fare
,Bosman Station,Bloemfontein,R370.00
,Bosman Station,Kroonstad,R300.00
,Bosman Station,Welkom,R320.00
,Bosman Station,Polokwane,R320.00
,Bosman Station,Tzaneen,R380.00
,Bosman Station,Apel,R300.00
,Bosman Station,Lebowakgomo,R320.00
,Bosman Station,Louis Trichardt,R380.00
,Bosman Station,Thoyandou,R380.00
,Bosman Station,Bushbuckridge,R380.00
,Bosman Station,Arconhoek,R370.00
,Bosman Station,Vryburg,R370.00
,Bosman Station,Kuruman,R450.00
,Bosman Station,Wolmaranstaad,R310.00
,Bosman Station,Bloemhof,R350.00
,Bosman Station,Christiana,R370.00
,Bosman Station,Warrington,R420.00
,Bosman Station,Buchum,R330.00
,Bosman Station,Nelspruit,R330.00
,Bosman Station,Malelane,R370.00
,Bosman Station,Zebediele,R320.00
,Bosman Station,Giyani,R380.00
,Bosman Station,Ficksburg,R370.00
,Bosman Station,Maseru / Ladybrand,R390.00
,Bosman Station,QwaQwa,R360.00
,Bosman Station,Mussina,R460.00
,Bosman Station,Klerksdorp,R280.00
,Bosman Station,Krugersdorp,R120.00
,Bosman Station,Randfontein,R120.00
,Bosman Station,Rustenburg,R210.00
,Bosman Station,Witbank,R180.00
,Bosman Station,Phalaborwa,R380.00
,Bosman Station,Thulamahashe,R370.00
,MTN Noord,Pretoria,R60.00
,MTN Noord,Heidelberg,R35.00
,MTN Noord,Lanseria,R30.00
,MTN Noord,Boksburg,R25.00
,MTN Noord,Norwood,R20.00
,MTN Noord,Randburg,R18.00
,MTN Noord,Midrand,R24.00
,MTN Noord,Mall of Africa,R24.00
,MTN Noord,Fourways,R24.00
,MTN Noord,Stoneridge,R18.00
,MTN Noord,Alexandra,R20.00
,MTN Noord,Olieven,R30.00
,JHB Wanderes,Tzaneen,R380.00
,JHB Wanderes,Durban,R380.00
,JHB Wanderes,Welkom,R270.00
,JHB Wanderes,Mahikeng,R260.00
,JHB Wanderes,Bloemfontein,R350.00
,JHB Wanderes,Orkney (North West),R180.00
,JHB Wanderes,Krugersdorp,R24.00
,JHB Wanderes,Klerksdorp,R200.00
,JHB Wanderes,Potchefstroom,R180.00
,JHB Wanderes,Mokopane,R330.00
,JHB Wanderes,Marble Hall,R370.00
,JHB Wanderes,Phalaborwa,R380.00
,JHB Wanderes,Kuruman,R400.00
,JHB Wanderes,Kimberly,R410.00
,JHB Wanderes,Polokwane,R330.00
,JHB Wanderes,Rusternburg,R190.00
,JHB Wanderes,Nelspruit (Mbobela),R330.00
,Bree,Wesdene,R17.00
,Bree,Northcliff,R18.00
,Bree,Auckland Park,R13.00
,Bree,Maponya Mall,R16.00
,Bree,Randburg,R18.00
,Bree,Soweto,R16.00
,Bree,Fourways,R20.00
,Bree,Cosmo City,R26.00
,Bree,Gold Reef City,R16.00
,Bree,Randburg,R18.00
,Germiston,Vereeniging,R50.00
,Germiston,Kempton Park,R25.00
,Germiston,Meyerton,R60.00
,Germiston,Midrand,R26.00
,Germiston,Tembisa,R20.00
,Germiston,EMondlo,R400.00
,Germiston,Greenstone,R18.00
,Germiston,Pretoria,R55.00
,Germiston,Pretoria,R55.00
,Bara (Soweto),Sebokeng Hospital,R45.00
,Bara (Soweto),Pretoria,R55.00
,Bara (Soweto),Tembisa,R28.00
,Bara (Soweto),Randfontein,R26.00
,Bara (Soweto),Fourways Mall,R20.00
,Bara (Soweto),Bryanston,R28.00
,Bara (Soweto),Sandton City,R28.00
